DATE,AREA,ITEMS,COST,RECEIPT FILE NAME,INFO,VALUE ADDED
2026-08-05,KITCHEN,MISC,17.2,filename,baking soda,false
2026-07-31,BACKYARD,MISC,25.62,filename,batteries,false
2026-07-23,GARAGE,MISC,18.25,filename,door lube,false
2026-07-19,KITCHEN,FLOOR,5.37,filename,floor cleaner,false
2026-07-16,FRONTYARD,MISC,5.45,filename,drip coupling,false
2026-06-23,BACKYARD,PLANTS,34.22,filename,spring veggies,false
2026-06-18,LIVING ROOM,PLANTS,11.45,filename,pothos indoor plants,false
2026-06-17,FRONTYARD,MISC,28.0,filename,frames for signage,false
2026-06-10,KITCHEN,FLOOR,15.06,filename,mop,false
2026-06-07,BACKYARD,PLANTS,22.97,filename,succulents and mulch,false
2026-05-23,FRONTYARD,PLANTS,11.32,filename,pagonias,false
2026-05-20,BACKYARD,MISC,29.02,filename,houseplants,false
2026-05-15,FRONTYARD,SEWAGE LINE,15.85,filename,sewage line treatment,false
2026-05-13,BACKYARD,LIGHTS,21.52,filename,Two sets of floodlights for backyard motion sensor floodlights,false
2026-04-20,FRONTYARD,MISC,10.47,filename,wood and mount for sign,false
2026-04-12,LIVING ROOM,PLANTS,34.19,filename,pot trays,false
2026-04-07,BACKYARD,PLANTS,38.52,filename,tomatoes,false
2026-04-07,BACKYARD,MISC,4.27,filename,drip water stake,false
2026-04-04,GARAGE,MISC,15.94,filename,3d printer hardware,false
2026-04-04,FRONTYARD,MISC,2.78,filename,drip mister,false
2026-03-28,FRONTYARD,MISC,15.07,filename,garden soil,false
2026-03-26,FRONTYARD,MISC,22.6,filename,Hedgers for Front/Back Yards,false
2026-03-09,FRONTYARD,PLANTS,22.63,filename,6 pack pergonias,false
2026-03-09,FRONTYARD,MISC,7.94,filename,garden soil,false
2026-02-28,FRONTYARD,MISC,26.9,filename,drip access.,false
2026-02-14,FRONTYARD,PLANTS,43.1,filename,camellia,false
2026-02-12,BACKYARD,MISC,38.7,filename,odor eliminator,false
2026-02-01,FRONTYARD,PLANTS,15.0,filename,Primroses,false
2026-02-01,FRONTYARD,PLANTS,10.74,filename,two bags of soil,false
2026-01-02,LIVING ROOM,MISC,28.5,filename,swifter mop,false
2025-12-29,GARAGE,MISC,9.46,filename,concrete cement patch,false
2025-12-16,LIVING ROOM,MISC,9.99,filename,battery,false
2025-11-18,LIVING ROOM,MISC,20.33,filename,battery,false
2025-10-18,BACKYARD,MISC,12.78,filename,bark,false
2025-10-12,BACKYARD,PLANTS,11.9,filename,vegetables,false
2025-10-11,BACKYARD,PLANTS,10.74,filename,soil,false
2025-10-11,BACKYARD,PLANTS,4.83,filename,raindrip parts,false
2025-10-06,BACKYARD,PLANTS,12.83,filename,soil,false
2025-10-06,BACKYARD,PLANTS,4.97,C:Receipts,4.97,false
2025-10-06,BACKYARD,MISC,79.79,filename,auger rental,false
2025-10-02,LIVING ROOM,MISC,30.2,filename,floor cleaner,false
2025-09-27,GARAGE,LIGHTS,9.03,filename,house number sign,false
2025-09-25,FRONTYARD,LIGHTS,13.95,filename,xmas light. mosquito coil,false
2025-09-12,FRONTYARD,PLANTS,17.18,filename,soil,false
2025-09-12,FRONTYARD,PLANTS,20.48,filename,aster,false
2025-08-18,FRONTYARD,PLANTS,33.89,filename,daisy,false
2025-08-17,LIVING ROOM,MISC,179.0,C:ReceiptsClarkNRush081424_YearlyMaintenance.pdf,Annual HVAC Maintenace,false
2025-08-17,LIVING ROOM,OUTLETS,25.99,C:ReceiptsKasa_Smart_Plug_08172025.pdf,4 pack smart plugs,false
2025-08-14,LIVING ROOM,MISC,13.79,C:ReceiptsDisplay Base_08142025.pdf,Rotating Display Base for picture cube,false
2025-08-13,BATH2,MISC,4.23,filename,velcro tape,false
2025-08-12,FRONTYARD,MISC,22.4,filename,raindrip pvc,false
2025-08-05,GARAGE,MISC,11.68,filename,storage box,false
2025-07-28,BACKYARD,ANTENNA,1.0,filename,play,false
2025-07-19,KITCHEN,LIGHTS,4.83,filename,hood light,false
2025-07-17,BATH1,TOILET,18.99,C:ReceiptsToilet Paper Stand - Black _07142025.pdf,Black toilet paper stand,false
2025-07-16,BACKYARD,MISC,21.01,filename,trellis,false
2025-07-02,GARAGE,LIGHTS,1.75,filename,wall plate,false
2025-06-30,FRONTYARD,MISC,14.85,filename,flag bracket,false
2025-06-30,BACKYARD,MISC,34.17,filename,house corner repair,false
2025-06-24,KITCHEN,FLOOR,33.09,filename,floor trim,false
2025-06-23,FRONTYARD,MISC,11.79,filename,wasp trap,false
2025-06-13,FRONTYARD,PLANTS,9.0,filename,lantana,false
2025-06-02,FRONTYARD,PLANTS,14.0,filename,soil,false
2025-05-24,HALLWAY,DOOR,10.72,filename,front door repair,false
2025-05-16,BACKYARD,GUTTERS,31.56,filename,gutter down spout repair,false
2025-05-08,BACKYARD,PLANTS,37.75,filename,veggies,false
2025-05-02,FRONTYARD,PLANTS,45.69,filename,shut off valve,false
2025-04-27,LIVING ROOM,FAN,96.94,C:Receipts2025_04_05&08&16&27_misc.jpg,New ceil fan/light for living room,false
2025-04-16,BACKYARD,MISC,27.98,C:Receipts2025_04_05&08&16&27_misc.jpg,mulch for garden,false
2025-04-08,BATH1,SHOWER/TUB,6.98,C:Receipts2025_04_05&08&16&27_misc.jpg,solutions to fix tub drain,false
2025-04-05,BATH2,SHOWER/TUB,14.71,C:Receipts2025_04_05&08&16&27_misc.jpg,bonding solution for shower drain,false
2025-03-25,BACKYARD,MISC,2.89,filename,parts for sprinkler line,false
2025-03-25,FRONTYARD,PLANTS,17.14,filename,two african dasies,false
2025-03-25,FRONTYARD,MISC,8.88,C:Receipts2025_03_23&25_garden.jpg,irrigation pvc,false
2025-03-22,FRONTYARD,MISC,6.18,C:Receipts2025_03_22&24_garden.jpg,irrigaton/sprinkler parts,false
2025-03-22,ATTIC,MISC,37.12,C:Receipts2025_03_22&24_garden.jpg,wood to fix attic and ant traps,false
2025-03-22,ATTIC,MISC,21.57,filename,anchors for attic entry,false
2025-03-15,BATH2,MISC,7.83,C:Receipts2025_03_15 shower_drain.jpg,shower drain,false
2025-03-08,FRONTYARD,PLANTS,10.5,C:Receipts2025_02_09.jpg,Parts to replace sprinkler valve,false
2025-03-07,FRONTYARD,PLANTS,5.89,C:Receipts2025_02_09.jpg,Parts for sprinkler valve replacement,false
2025-03-06,FRONTYARD,PLANTS,30.55,C:Receipts2025_03_06_sprinklerValve.pdf,Sprinker valve,false
2025-02-24,BACKYARD,FENCE,7.52,C:Receipts2025_02_09.jpg,Trellis for Carolina Jasmine,false
2025-02-09,BACKYARD,FENCE,20.43,C:Receipts2025_02_09.jpg,Trellis for Lilac,false
2025-01-05,KITCHEN,MISC,18.31,C:Receipts2025_01_05 fryer_Pan.jpg,fryer pan,false
2024-11-24,BACKYARD,GUTTERS,7.31,C:Receipts2024_11_17 downspout.jpg,caulking material for backyard downspout,false
2024-11-17,BACKYARD,GUTTERS,10.49,C:Receipts2024_11_17 downspout.jpg,inal downspout for backyard gutter,false
2024-10-16,LIVING ROOM,MISC,44.27,C:Receipts2024_10_08_filters.pdf,16X25X2 filters ( 4-pack) for HVAC sysytem,false
2024-10-03,BACKYARD,MISC,16.98,filename,,false
2024-10-03,LIVING ROOM,FLOOR,12.97,filename,tile cleaner,false
2024-09-22,KITCHEN,MISC,1283.72,filename,refrigerator,false
2024-09-22,FRONTYARD,PLANTS,30.09,filename,soil,false
2024-09-22,BACKYARD,PLANTS,11.9,filename,Vegetable 6-pack,false
2024-09-22,BACKYARD,PLANTS,23.64,filename,,false
2024-09-20,KITCHEN,OUTLETS,10.0,filename,kitchen outlet,false
2024-09-18,LIVING ROOM,PLANTS,22.28,filename,houseplant soil and fertilizer,false
2024-09-10,FRONTYARD,PLANTS,9.64,filename,lantana,false
2024-09-02,FRONTYARD,MISC,22.57,filename,wasp trap,false
2024-08-11,FRONTYARD,MISC,18.24,C:Receipts2024_08_11 solenoid.jpg,solenoid for siphon valve irrigation,false
2024-08-11,FRONTYARD,MISC,3.95,filename,bushing housing for solenoid and siphon valve,false
2024-08-05,FRONTYARD,MISC,5.74,C:Receipts2024_0805_stakes.jpg,Stakes for drip system,false
2024-08-04,FRONTYARD,MISC,6.92,filename,4 GPH drips,false
2024-08-04,FRONTYARD,MISC,14.87,filename,drippers,false
2024-08-03,FRONTYARD,MISC,24.36,filename,bark,false
2024-07-31,LIVING ROOM,MISC,179.0,C:ReceiptsClarkNRush073124.pdf,Clark and Rush 2024 HVAC service,false
2024-07-22,KITCHEN,FRIG,370.68,C:Receiptsefrig_invoice1_10288.pdf,Replaced fan in Kitchenaide refrigerator,false
2024-06-27,FRONTYARD,MISC,7.51,filename,wasp spray,false
2024-06-24,KITCHEN,MISC,13.96,filename,floor cleaner,false
2024-06-24,FRONTYARD,MISC,16.13,filename,wasp trap,false
2024-06-05,KITCHEN,MISC,15.06,filename,mop,false
2024-06-02,BATH1,WINDOWS,3.24,filename,window screen,false
2024-05-31,FRONTYARD,MISC,10.74,filename,weed killer,false
2024-05-31,BATH1,WINDOWS,19.13,filename,window screen,false
2024-05-30,FRONTYARD,MISC,22.9,filename,pest control,false
2024-05-23,LIVING ROOM,PLANTS,40.4,filename,houseplants,false
2024-05-21,FRONTYARD,PLANTS,48.49,filename,lavender,false
2024-05-21,BACKYARD,PLANTS,22.09,filename,fertilizer,false
2024-05-20,KITCHEN,MISC,30.98,filename,garbage bags,false
2024-05-18,BACKYARD,MISC,15.05,filename,pet odor eliminator,false
